
============================================================
Classification Metrics (IoU>=0.30)
============================================================
Overall Accuracy: 0.7024 (11086/15784)
Mean Class Accuracy: 0.4600

Class                Correct  Total    Accuracy  
------------------------------------------------------------
AD                   0        0        0.0000    
BC                   9        158      0.0570    
EC                   3164     3936     0.8039    
L                    3431     5122     0.6699    
LC                   103      614      0.1678    
M                    894      1195     0.7481    
NT                   0        0        0.0000    
SM                   1        2        0.5000    
SQ                   0        0        0.0000    
TC1                  3484     4752     0.7332    
TC2                  0        5        0.0000    
TC3                  0        0        0.0000    

